campaign,date,cost,impressions,clicks,sessions,transactions,revenue,revenue_web,revenue_app,Medio,TipoCampaña
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-08,"$13,675.64","26,209","8,717","7,911",178,"$144,516.73","$130,776.08","$13,740.65",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-09,"$11,094.91","22,557","7,123","6,585",149,"$114,986.65","$102,124.94","$12,861.71",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-10,"$16,148.63","22,722","8,110","8,075",459,"$370,175.28","$327,060.79","$43,114.49",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-11,"$9,912.83","20,657","7,123","7,034",294,"$209,598.15","$179,825.12","$29,773.03",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-12,"$9,498.19","20,243","6,860","6,626",292,"$199,165.81","$162,006.20","$37,159.61",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-13,"$11,466.31","22,689","7,420","5,894",191,"$126,903.00","$112,197.10","$14,705.90",aw,BRAND TERMS
aw_chedraui_ecomm_do_sem_brand_terms,2025-01-14,"$1,651.54","4,120","1,397",614,5,"$5,749.88","$5,749.88",$0.00,aw,BRAND TERMS
aw_chedraui_ecomm_do_pmax_jugueteria,2024-12-15,"$2,987.63","171,502","2,348","2,170",44,"$42,820.84","$40,422.34","$2,398.50",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2024-12-16,"$2,818.74","137,812","2,027","1,837",25,"$27,790.20","$21,424.90","$6,365.30",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2024-12-20,"$4,822.65","207,938","5,877","5,094",177,"$163,383.22","$139,576.47","$23,806.75",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2024-12-21,"$5,407.95","249,562","8,064","7,381",239,"$185,297.14","$157,194.61","$28,102.53",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2024-12-22,"$5,353.84","246,249","7,833","7,641",186,"$138,617.04","$109,147.07","$29,469.97",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2024-12-27,"$3,613.76","252,971","5,067","3,965",53,"$64,944.53","$52,089.83","$12,854.70",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2024-12-28,"$4,782.44","291,575","6,268","5,146",155,"$143,122.40","$109,978.61","$33,143.79",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2024-12-29,"$6,742.47","313,959","9,053","7,144",136,"$140,639.51","$128,813.26","$11,826.25",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2024-12-30,"$12,008.80","464,560","10,846","8,611",124,"$112,429.29","$95,900.55","$16,528.74",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2024-12-31,"$1,070.05","220,879","2,341","3,217",91,"$103,793.97","$72,878.41","$30,915.56",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2025-01-01,"$2,125.88","304,948","4,244","4,031",76,"$66,028.55","$42,059.94","$23,968.61",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2025-01-02,"$25,282.51","900,406","29,064","21,659",401,"$301,178.75","$253,469.61","$47,709.14",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2025-01-03,"$29,703.96","916,308","32,381","26,190",489,"$326,867.52","$257,054.54","$69,812.98",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2025-01-04,"$23,849.54","985,195","32,574","25,368",348,"$244,862.83","$193,280.95","$51,581.88",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2025-01-05,"$16,751.46","841,661","24,023","20,783",244,"$135,908.66","$97,970.45","$37,938.21",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2025-01-06,"$30,025.19","1,488,513","35,974","27,504",264,"$128,966.80","$106,370.96","$22,595.84",aw,PMAX
aw_chedraui_ecomm_do_pmax_jugueteria,2025-01-07,$188.48,"27,258",288,"2,508",28,"$9,887.20","$4,138.86","$5,748.34",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-15,"$7,821.13","146,432","2,653","2,050",17,"$83,505.12","$73,224.00","$10,281.12",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-16,"$5,773.35","118,620","2,188","1,818",13,"$41,715.91","$41,380.96",$334.95,aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-17,"$4,202.54","92,951","1,787","1,654",9,"$51,924.97","$50,668.00","$1,256.97",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-18,"$2,829.08","72,628","1,282","1,282",11,"$30,934.50","$28,636.50","$2,298.00",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-19,"$3,723.54","93,831","1,903","1,725",22,"$26,021.75","$22,610.75","$3,411.00",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-20,"$5,629.28","128,569","2,442","2,134",36,"$94,168.73","$87,775.70","$6,393.03",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-21,"$4,010.05","107,570","1,953","1,730",22,"$29,683.20","$22,590.25","$7,092.95",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-22,"$4,604.28","98,916","1,904","1,683",22,"$25,676.87","$19,436.35","$6,240.52",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-23,"$4,320.30","108,878","2,260","2,198",25,"$44,827.58","$40,422.78","$4,404.80",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-24,"$2,135.55","69,075","1,231","1,102",10,"$37,219.82","$36,970.32",$249.50,aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-25,"$4,719.28","107,916","2,023","1,661",6,"$13,809.66","$12,857.00",$952.66,aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-26,"$4,660.92","105,934","2,149","2,121",20,"$87,724.77","$84,021.65","$3,703.12",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-27,"$2,879.85","77,981","1,798","1,805",24,"$45,847.86","$31,997.28","$13,850.58",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-28,"$2,540.25","72,119","1,742","1,679",20,"$39,596.48","$32,613.50","$6,982.98",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-29,"$3,130.94","78,941","1,831","1,811",25,"$43,490.95","$37,719.44","$5,771.51",aw,PMAX
aw_chedraui_ecomm_do_pmax_linea-blanca,2024-12-30,"$2,780.39","71,490","1,888","1,846",25,"$59,946.45","$53,820.90","$6,125.55",aw,PMAX
